condition,feature,mimii_files,dcase_files,mimii_mean,dcase_mean,mimii_std,dcase_std,mimii_median,dcase_median,mimii_iqr,dcase_iqr,standardized_mean_difference,absolute_smd,absolute_median_difference_over_pooled_iqr,wasserstein_raw_units,ks_statistic,ks_pvalue_exploratory
normal,mid_power,100,100,1.1370322794824854e-05,0.00016858587919012756,5.825711019316905e-06,0.0001274091644093922,1.2245195779450949e-05,0.0001104000167343605,8.719634028058268e-06,0.0001879735708493896,-1.7432365639198457,1.7432365639198457,0.9980499429664196,0.0001572155563953027,1.0,2.2087606931995054e-59
normal,high_mid_power,100,100,1.8114350162553043e-06,9.141582371970363e-05,1.3458916930053415e-06,0.0001310986621494409,1.279099656758837e-06,1.651802592579285e-05,2.1420842360775393e-06,0.0001337581941170075,-0.9665473493962833,0.9665473493962833,0.22426629957948246,8.960438870344833e-05,0.73,4.3321337732975196e-26
normal,high_power,100,100,5.465460115514302e-07,6.900472834211025e-05,3.8293742245660336e-07,0.00010959044357516979,4.1240382028811693e-07,7.012048138313465e-06,4.733927765228273e-07,8.187623684285093e-05,-0.8834155215477337,0.8834155215477337,0.16028352157816386,6.845818233055883e-05,0.82,4.111259567767065e-34
normal,low_ratio,100,100,0.29565932635991954,0.4268352076568064,0.23886883035372616,0.29111266650373036,0.19166580619246512,0.3750103826903909,0.30753373365686326,0.5012962796294294,-0.49263284664960766,0.49263284664960766,0.4533575003058876,0.15031897988337756,0.3,0.0002248739317492479
normal,low_mid_ratio,100,100,0.23434751877326193,0.22185083856471813,0.0747615772797762,0.24646088026594792,0.26661491422980277,0.10627371515686225,0.07709111986098646,0.23499384845816962,0.06861945437349586,0.06861945437349586,1.0275483624636887,0.1814542389524071,0.5,1.0024645454361508e-11
normal,mid_ratio,100,100,0.3700472159392245,0.1624432176964104,0.1646851808780752,0.12279636107961645,0.41246814190789244,0.1063294304987397,0.22026992180236182,0.18127550354310742,1.4292022380540315,1.4292022380540315,1.5248023864087934,0.20760399824281414,0.58,6.689905084769254e-16
normal,high_mid_ratio,100,100,0.05849841842390549,0.08808617539121136,0.03941696958789462,0.1263501476228492,0.04311193728548715,0.01599489129403485,0.06929842839021991,0.1287294370838833,-0.31614336340318744,0.31614336340318744,0.2738710123096135,0.05618076378729139,0.5,1.0024645454361508e-11
normal,high_ratio,100,100,0.018103111081349144,0.06650271000378181,0.012016634861185668,0.10565023845791144,0.01453504767336637,0.006769177454296566,0.013754397614792448,0.07838277241372876,-0.6437172061410834,0.6437172061410834,0.16857192849890804,0.05628818160045065,0.47,2.359168035084735e-10
anomaly,rms,100,100,0.005834986378109637,0.03222844271963594,0.002007708644748031,2.81746439130783e-05,0.005462944257275313,0.03222789181598737,0.002204438402635207,3.7924012249626604e-05,-18.589504619054907,18.589504619054907,23.87209790981686,0.026393456341526293,1.0,2.2087606931995054e-59
anomaly,rms_dbfs,100,100,-45.17071151081223,-29.835216868380936,2.935523825797225,0.007593545347411359,-45.25148863363492,-29.83536205918032,3.4767978292320407,0.01022148781776977,-7.387980216075835,7.387980216075835,8.842008129451603,15.335494642431293,1.0,2.2087606931995054e-59
anomaly,peak,100,100,0.02630859375,0.15688201904296875,0.007885650282071126,0.0762128475593594,0.0259552001953125,0.13641357421875,0.00939178466796875,0.0300445556640625,-2.4100676306062208,2.4100676306062208,5.601857225769008,0.13057342529296875,1.0,2.2087606931995054e-59
anomaly,peak_dbfs,100,100,-31.982553876316324,-16.619202633673893,2.6235839072789253,2.6432390584392382,-31.715513841205553,-17.302862147286056,3.2139662150647865,1.8698990646536373,-5.833970255546849,5.833970255546849,5.669958152281234,15.363351242642427,1.0,2.2087606931995054e-59
anomaly,amplitude_mean,100,100,-7.663536071777344e-08,-1.1398429870605468e-06,1.6843003648312673e-06,1.1111492902304088e-05,-1.1596679687500001e-07,-9.638786315917968e-07,1.0944366455078125e-06,9.041595458984375e-06,0.13379125346058862,0.13379125346058862,0.16730646193218165,6.3562755584716806e-06,0.33,3.211428734211389e-05
anomaly,amplitude_std,100,100,0.005834986195351633,0.032228440803486885,0.0020077084732899163,2.817426982791641e-05,0.005462944146310871,0.03222789158718668,0.0022044384332284865,3.792400257977141e-05,-18.58950503401462,18.58950503401462,23.872097581966855,0.02639345460813526,1.0,2.2087606931995054e-59
anomaly,amplitude_p01,100,100,-0.0133670166015625,-0.07362739562988282,0.004194841405885799,0.004018137944585865,-0.01275634765625,-0.07414260864257813,0.0050201416015625,0.004364089965820314,14.671030812517788,14.671030812517788,13.08285298493508,0.0602603790283203,1.0,2.2087606931995054e-59
anomaly,amplitude_p05,100,100,-0.009664642333984374,-0.05232640075683594,0.0034270503849933042,0.002523283528695054,-0.009002685546875,-0.0527496337890625,0.00354766845703125,0.0007781982421875,14.176692911612006,14.176692911612006,20.225749559082892,0.04266175842285156,1.0,2.2087606931995054e-59
anomaly,amplitude_p50,100,100,6.6986083984375e-05,-5.18798828125e-05,0.0002290605046769416,0.0004973011928446485,0.0,0.0,6.103515625e-05,0.00031280517578125,0.3070246407162804,0.3070246407162804,0.0,0.000216827392578125,0.3,0.0002248739317492479
anomaly,amplitude_p95,100,100,0.009465972900390618,0.05247326660156247,0.0030584309822074217,0.0025876104262420973,0.009002685546875,0.0528564453125,0.0036468505859375,0.00089263916015625,-15.18180039247358,15.18180039247358,19.321008403361343,0.04300729370117185,1.0,2.2087606931995054e-59
anomaly,amplitude_p99,100,100,0.013085333251953131,0.073890756225586,0.003727866517274191,0.003917943157714327,0.0128021240234375,0.07417312622070327,0.00545501708984375,0.0029528045654299007,-15.900642164218688,15.900642164218688,14.598549948730643,0.06080542297363287,1.0,2.2087606931995054e-59
anomaly,clipping_ratio,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
anomaly,zero_crossing_rate,100,100,0.12676791729948314,0.1426167038543991,0.05872054967447136,0.13110129537251416,0.11563822273889213,0.08320364502278138,0.08084113025706413,0.11631010193813711,-0.15602777320424463,0.15602777320424463,0.32903246259193525,0.053770273564209776,0.39,3.5690338557186834e-07
anomaly,spectral_centroid_hz,100,100,699.9502112998915,950.5882918358274,392.0106594422739,1076.9854565891856,601.9865958645041,414.5293683170625,622.2541576066956,750.4924881530337,-0.309268322031988,0.309268322031988,0.2731126360810677,431.54068521601704,0.33,3.211428734211389e-05
